#{"t_start": 1769362602.754358, "env_id": "CustomAnt-source-v5"}
r,l,t
-44.456729,127,74.822667
-34.070398,37,74.874412
-82.61814,75,74.980038
-916.937365,1000,76.394909
-13.284926,14,76.414927
-13.15081,24,76.448613
-78.137684,80,76.560138
-56.172985,40,76.616598
-86.120829,106,76.764191
-56.410168,47,76.82992
-121.831738,100,76.9695
-29.301135,29,77.010574
-43.399939,33,77.056733
-98.386005,102,77.198874
-16.884351,42,77.257622
-21.207803,69,77.354614
-2.147463,18,77.379789
-796.249504,1000,79.67298
-32.27854,71,79.772238
-775.65604,1000,81.185807
-12.921523,11,81.201781
-747.897329,1000,83.478757
-64.039994,45,83.54183
-91.318843,127,83.719816
-26.028069,28,83.758938
-56.872549,77,83.86641
-42.753728,54,83.942754
-657.800753,799,85.069798
-32.76173,52,85.993159
-34.302467,43,86.054831
-31.839146,51,86.126219
-15.775134,14,86.145917
-36.502947,37,86.197843
-10.985693,42,86.257136
-3.830637,13,86.275599
-55.195541,75,86.380394
-79.81873,92,86.509144
-129.951403,204,86.794668
9.288206,65,86.885295
-30.48245,40,86.942343
-2.928377,17,86.96632
-13.455905,10,86.980344
-3.626975,12,86.997237
-106.893095,88,87.121006
-11.077057,14,87.140784
-45.965317,41,87.198073
-80.144523,49,87.267021
-13.189764,32,87.311736
-34.706615,41,87.369086
-4.366834,13,87.387549
-809.066632,1000,88.79985
-10.893734,39,88.85456
-7.251427,16,89.721272
-34.985528,56,89.800343
-35.994925,70,89.898503
-17.057481,113,90.056868
-40.057227,25,90.09208
-18.634336,22,90.123368
-6.458579,16,90.145956
-64.584765,147,90.352034
-846.327733,1000,91.764865
-68.008682,78,91.874081
-41.564582,38,91.92731
-18.3506,27,91.965164
-18.32875,43,92.025673
-72.783209,74,92.128877
-20.328152,20,92.157169
-116.078515,114,92.3167
-22.315908,18,92.34202
-52.887546,56,92.420628
-141.858355,162,93.48849
-2.367363,29,93.529634
-29.045156,43,93.590675
-51.112779,58,93.671766
-8.694598,15,93.693327
-31.800035,35,93.742527
-824.802786,1000,95.153544
-169.681308,174,95.397067
-63.908463,61,95.482589
-2.514753,13,95.500868
-52.15609,33,95.54733
-11.841374,17,95.571467
-100.37087,140,95.767465
-50.857626,40,95.823291
-5.566687,19,95.850003
-13.521729,46,95.916052
-79.171382,91,96.044162
-11.710079,25,96.07929
-18.098854,27,96.117164
-14.896181,35,96.166131
-17.116406,35,96.215462
-11.737929,34,96.263246
-32.643255,47,97.17129
-253.501597,278,97.564824
-45.817136,39,97.619972
-89.792514,107,97.770402
-44.828513,55,97.847598
-30.973054,33,97.893952
-5.35985,34,97.941662
-58.52289,68,98.037222
-431.239698,511,98.759787
-52.055887,60,98.843988
-25.897504,13,98.862261
-32.446633,22,98.893232
0.560437,27,98.931499
-22.132992,93,99.062268
-21.853316,37,99.114518
-5.696773,11,99.130167
-21.717292,31,99.17359
-12.720677,68,99.269486
-21.105136,19,99.296318
-18.907112,44,99.358003
-14.792693,18,99.383352
-733.361854,1000,101.640974
-24.235008,26,101.677925
-868.404213,1000,103.090624
1.280305,40,103.146877
-46.236884,60,103.231555
7.342907,26,103.268167
-69.545162,82,103.382826
-17.231034,73,103.484829
-23.988506,37,103.536769
-41.959317,38,103.590227
-16.837662,15,103.611401
11.718887,41,103.668764
-52.236043,36,103.719139
-11.356676,23,103.751758
-45.571732,35,104.645559
-41.331056,32,104.690835
-3.519348,26,104.727758
-2.12907,23,104.760216
-19.677498,17,104.784324
24.113104,55,104.861422
-57.222869,52,104.934526
-34.766729,36,104.98504
-138.566514,121,105.154598
-752.635614,1000,106.56711
8.47128,43,106.627843
-29.619396,36,106.678494
6.621616,13,106.696717
-26.630574,18,106.721959
-15.18081,38,106.775556
-57.047531,42,106.834375
-605.464192,759,108.778232
-13.587539,21,108.808007
-2.960529,18,108.833308
-16.466929,15,108.854515
-124.014239,85,108.973801
-7.955068,16,108.996275
-73.546629,64,109.086287
-3.388995,30,109.128423
-134.812666,168,109.363483
-21.336979,37,109.415523
-27.425116,36,109.465999
-11.692483,39,109.52092
-44.612726,58,109.602072
-6.510457,18,109.627435
-12.682854,18,109.652844
-12.808062,14,109.672622
-25.737138,21,109.702698
-0.499595,62,109.789793
-15.266241,13,109.808372
-15.122699,29,109.849109
-9.845691,24,109.882845
-719.357936,1000,112.139729
-48.622844,61,112.225925
-32.14421,47,112.292032
-45.089995,115,112.452834
-11.632785,20,112.481082
-49.464255,90,112.607543
-30.034291,24,112.641357
-10.537527,18,112.666743
-15.364696,32,112.711693
-21.536632,29,112.752282
-26.249786,14,112.772081
-15.589249,13,112.79039
-14.851747,28,112.829761
-279.25083,418,113.419591
-424.224131,723,114.438838
-72.408057,186,114.698749
-704.79261,1000,116.954522
-71.83385,47,117.020843
-43.757366,34,117.068598
-58.258738,87,117.190352
-45.905857,38,117.243579
9.556312,13,117.261887
-37.452268,35,117.311048
-737.10324,1000,118.723254
-20.168544,12,118.74038
-32.36637,81,119.68585
-25.437029,52,119.75855
-47.785728,87,119.879944
-170.400338,238,120.214155
-16.460792,19,120.240894
-39.033647,39,120.295581
-12.844118,21,120.325125
-54.248303,36,120.375253
-11.425291,18,120.400431
-32.740425,50,120.471393
-10.099381,45,120.533935
-23.447689,30,120.576108
-11.845519,34,120.623757
-60.022212,108,120.774323
-102.543808,101,120.915314
-65.159131,114,121.074559
-17.157181,30,121.116847
-54.940199,68,121.211577
-34.438994,105,121.357493
-12.816244,19,121.384027
-91.201899,64,121.473366
-48.23473,108,121.625039
-32.769097,18,121.650432
-0.33358,16,121.672892
-33.130426,26,121.709378
-9.000957,37,121.76084
-702.7538,1000,124.047949
-16.269195,22,124.079049
-43.316165,48,124.146908
-29.490842,69,124.243391
-4.716755,23,124.276428
-24.407847,67,124.371862
-19.090253,14,124.391582
-28.455581,22,124.422651
-689.586555,950,125.760974
0.918775,46,125.825557
12.542966,63,125.914172
-5.215468,15,125.935904
-31.012508,62,126.022752
-153.916913,108,126.175588
-31.254999,21,126.204964
-17.460393,45,127.098727
-24.2065,68,127.194559
-710.341652,1000,128.602963
-693.705961,1000,130.85141
-6.113964,44,130.913175
-34.459866,23,130.946074
-21.34396,19,130.972723
-116.703836,211,131.26744
-26.565684,73,131.369372
-22.804796,20,131.397419
-7.066654,22,131.428159
-26.807017,61,131.513142
-19.22095,72,131.613602
-23.735989,25,131.648593
-19.844993,29,131.689189
-89.706448,62,131.775805
-32.610027,21,131.805322
-31.293753,26,131.841707
-3.098901,65,131.933117
-13.86875,33,131.979266
-14.650714,16,132.001771
-13.247146,39,132.056286
-18.205883,14,132.075999
9.106131,42,132.134322
-433.708696,642,133.035968
-31.359901,51,133.107145
-612.420957,1000,135.362489
-35.061105,38,135.416003
-25.603001,36,135.466286
-15.474402,27,135.504307
-21.932318,137,135.695749
-8.684298,43,135.756182
-52.859389,40,135.811983
-35.866407,29,135.852651
-11.904189,27,135.89036
-13.043474,27,135.928925
-22.808582,36,135.979322
-13.976992,68,136.074538
-27.506492,16,136.097082
10.233543,37,136.148823
-22.979926,20,136.17694
-6.971139,38,136.23046
-29.962145,52,136.303572
-24.034991,20,136.331736
-20.929428,53,136.405562
-7.934847,36,136.455944
-41.052482,53,136.529985
-38.460301,95,136.662658
-21.463228,19,136.689301
-84.032951,83,136.805008
-6.965694,15,136.82614
-173.926622,197,137.101293
-602.255566,1000,139.347881
-62.059109,73,139.450224
-106.541592,131,139.633271
-14.709543,69,139.729626
-17.212074,45,139.792496
-643.801753,1000,142.150308
3.903179,19,142.178985
-66.662215,55,142.260914
-47.477581,54,142.340949
-47.581577,35,142.393321
-11.455851,20,142.422904
-11.085868,16,142.446879
-213.76845,271,142.829855
-718.912212,1000,144.237745
-53.997451,39,144.29268
-34.396974,23,144.324651
-103.394176,92,144.454732
-43.698825,51,144.526347
-4.384106,46,144.59067
-87.60547,79,144.701504
-3.991803,15,144.722736
-7.855118,35,144.771535
-51.394926,42,144.83023
1.893396,10,144.844367
-50.815512,38,144.897159
-37.771415,77,145.847093
-40.469834,53,145.921691
0.969049,10,145.936541
-30.509355,19,145.963186
-13.284622,12,145.980193
-102.452483,166,146.212729
-42.440899,56,146.291614
-78.653308,117,146.455365
-22.032428,52,146.528181
-35.655151,62,146.615199
-36.47935,40,146.671252
-16.38031,18,146.697157
-15.969257,83,146.813238
-30.71091,71,146.912872
-5.597752,14,146.933206
-21.073662,99,147.0718
-17.933876,43,147.132073
-15.954657,25,147.167146
-70.846137,60,147.251164
-10.595107,65,147.342419
-45.750597,44,147.405075
-540.213801,751,148.481309
-28.437727,47,148.54916
0.930521,24,148.583792
-28.722995,17,148.608226
1.931701,16,148.631252
-666.242579,1000,151.039777
-21.386675,26,151.078348
-18.985699,19,151.106273
-99.047586,136,151.307241
-58.534696,88,151.437149
4.224914,49,151.508662
-16.588066,13,151.528167
-34.094823,40,151.586908
-47.072642,68,151.686585
-13.642683,16,151.709923
-6.499317,11,151.725693
-12.64573,28,151.766075
-91.042521,67,151.864378
-8.207435,14,151.884928
-97.097911,51,151.963793
-12.349841,58,152.047712
-29.180932,49,152.122104
-19.640991,26,152.162724
-13.875351,17,152.190302
-15.85432,51,152.271674
-0.453463,18,152.298956
-60.388065,101,152.450392
-55.01535,143,153.561277
1.515103,31,153.605264
-35.620651,42,153.66415
-638.820317,1000,155.074791
-15.662735,57,155.154307
-1.371509,36,155.205221
-15.178486,11,155.220668
-57.955099,63,155.309451
3.056173,22,155.341158
-13.743676,43,155.401469
-0.360687,11,155.417048
-9.975717,10,155.431178
-6.348763,11,155.446631
-25.235835,54,155.521959
-13.786876,17,155.545871
-12.871722,39,155.60125
-25.400324,30,155.643317
-24.794328,22,155.674148
13.51132,85,155.792717
-33.055048,94,155.92351
-73.965171,58,156.005371
9.792628,86,156.125224
-58.060178,93,156.255854
-45.50447,85,156.375107
-6.468481,12,156.391881
-12.785938,34,157.285731
-43.916796,48,157.353406
-11.897684,26,157.389882
-16.110724,36,157.440365
-18.898209,23,157.472691
-41.132425,41,157.530223
-64.347751,82,157.64589
-26.347928,22,157.676812
10.858401,44,157.73842
-9.728619,8,157.749894
-11.803108,32,157.794709
-0.190683,11,157.810204
-20.400444,14,157.829907
-40.123712,99,157.968162
-21.907287,40,158.024081
-15.554895,32,158.06904
-105.695552,105,158.215697
-35.322226,28,158.255275
-38.701307,57,158.335054
-8.809289,18,158.360679
-75.506373,109,158.512886
-3.534346,19,158.539528
0.891974,20,158.567666
-14.162235,17,158.59188
-5.66947,63,158.680571
-17.729912,32,158.725536
13.47102,29,158.766214
-24.183383,25,158.801106
-32.604164,55,158.877847
-23.123082,26,158.91448
-88.592595,128,159.093316
-41.688608,49,159.161623
-39.887289,31,159.204902
-49.644445,56,159.283509
4.418577,29,159.32406
-22.905323,27,159.362158
-593.813541,1000,161.624435
16.184454,72,161.72538
-7.027731,26,161.761859
-26.407744,28,161.800988
-62.602328,58,161.881897
-58.095122,51,161.95454
-6.727811,11,161.970101
-20.767034,34,162.01772
-17.198622,69,162.113786
-22.587233,56,162.192048
-15.569571,15,162.213288
-1.676054,18,162.238596
-32.006549,62,162.325881
-6.360408,15,162.346847
-8.289154,41,162.40466
-2.658592,26,162.441105
-20.26394,25,162.476188
-11.80714,22,162.506962
-632.008929,1000,164.754629
-57.81533,32,164.800001
-14.808699,35,164.849191
3.924605,10,164.863328
-19.011904,25,164.898318
-25.119767,57,164.978136
32.457822,90,165.103784
-13.862323,25,165.138929
-48.387266,70,165.237126
-2.065032,22,165.268035
-10.651599,20,165.296231
-24.684289,34,165.344003
-35.072619,34,165.392238
-0.846001,31,165.435689
-6.81006,53,165.509868
-15.639615,38,165.563209
-578.827771,1000,166.973244
-21.091054,18,166.998654
-28.389194,21,167.028047
5.222154,26,167.064575
-12.538154,12,167.081467
-0.000291,37,167.133255
2.51008,31,167.176788
-11.947992,17,167.200807
15.904806,34,167.248667
-97.387754,85,167.367752
-64.306858,53,167.442481
-54.381805,137,168.470648
-42.775038,54,168.546585
-677.002331,1000,169.959733
8.862738,33,170.00599
-97.567001,129,170.186255
-38.642037,66,170.278608
-59.798632,52,170.351291
-16.681948,23,170.383577
-15.126371,27,170.42143
-32.202062,126,170.597669
-91.766239,65,170.688682
6.262941,15,170.709719
-692.106403,1000,172.953577
-3.946893,18,172.978966
-30.247746,30,173.020747
-17.971182,50,173.090567
-1.521608,10,173.104749
-77.432703,114,173.263606
-19.218717,20,173.29174
-34.431426,88,173.414652
-13.182263,19,173.441397
-5.603508,24,173.475488
-10.171428,76,173.585923
-8.069514,36,173.637388
-54.534885,43,173.706682
-7.869322,25,173.745364
-20.163824,76,173.868061
27.165251,53,173.946926
-26.934877,27,173.985202
-20.392473,28,174.024635
-6.513037,87,174.148151
-10.619137,52,174.222398
5.368301,37,174.286725
-46.813026,57,174.38883
-29.759043,31,174.436227
-89.360628,70,174.544533
-41.134597,58,174.632737
-35.431448,35,174.683442
15.473902,28,174.723533
-29.349424,102,174.870399
-8.796054,22,174.901904
-9.105888,48,174.971033
-17.157336,17,174.99597
-88.002668,168,176.113005
-52.713989,74,176.218796
-40.658186,24,176.253385
-4.654539,17,176.27775
33.254711,63,176.368377
-18.231939,43,176.429742
-27.316422,34,176.478451
-14.234299,34,176.527173
-7.609236,77,176.637314
-12.374774,41,176.695578
-61.374899,105,176.84256
-44.904841,35,176.891561
-74.276359,65,176.98338
-118.236366,136,177.173207
-13.074789,113,177.331093
-38.432439,53,177.405245
-18.380928,55,177.482402
-41.493277,81,177.596073
-637.199186,1000,179.877589
-562.65262,1000,181.290449
-585.44268,1000,183.528906
-48.973723,48,183.596564
6.735649,43,183.656802
-63.780974,272,184.040481
-42.66542,29,184.081187
-7.039873,11,184.096894
24.107507,36,184.147295
-101.727699,100,184.286534
-4.292068,11,184.302131
-30.441514,50,184.372102
-10.572523,13,184.390722
8.195485,30,184.433032
-18.966444,49,184.502046
-13.15239,23,184.534266
-9.497101,47,184.600229
-22.247414,92,184.728497
-11.814029,27,184.766423
-88.605238,118,184.93089
-19.75131,60,185.014637
-12.136287,16,185.037271
-7.575495,59,185.119577
0.143899,10,185.133772
-42.106134,33,185.179731
-6.421016,42,185.238763
-18.157426,18,185.264015
-33.473921,25,185.299423
-16.52897,40,185.355272
-11.880538,25,185.390359
-20.103573,50,185.46015
40.782989,69,185.55681
-8.309567,95,185.689973
3.831005,20,185.718102
-512.880785,1000,187.960268
-18.79797,76,188.066796
-3.653857,31,188.110136
-13.271398,24,188.143681
-18.251936,29,188.184632
24.565199,45,188.247762
2.380154,12,188.264876
-2.569129,20,188.29296
-641.024721,1000,189.70331
-198.897406,173,189.944902
-7.231659,37,189.997096
-49.459438,86,190.950668
-17.435877,36,191.003026
-18.554537,70,191.100863
-7.369771,14,191.120545
-33.466873,70,191.218266
-13.114043,31,191.26211
-3.161849,36,191.312572
-63.357867,70,191.410274
-0.045508,24,191.443893
-11.703627,45,191.507213
-10.603045,54,191.583124
3.772702,51,191.65451
-60.598968,68,191.749638
-7.627438,27,191.787442
8.409963,34,191.835032
-22.314544,42,191.894042
-51.611171,75,191.999944
-3.92191,16,192.022539
58.206225,52,192.095412
-39.302175,61,192.180667
-532.334821,1000,193.59203
-4.948048,61,193.677649
-29.618895,71,193.776866
2.046524,21,194.639515
3.443716,53,194.715068
37.262681,58,194.796411
-79.198454,109,194.948576
-8.202117,12,194.965799
-10.153272,16,194.98822
-60.181749,75,195.093036
14.444877,41,195.150332
-7.6952,11,195.165874
-15.135866,50,195.235711
-7.146105,12,195.253152
-46.941174,37,195.305426
-502.320425,1000,196.715758
18.646253,35,196.764806
-12.155092,27,196.802664
-4.197127,28,196.842026
-9.699206,18,196.867467
-41.632819,57,196.946971
-550.33494,1000,199.193898
19.976314,70,199.292529
0.053123,28,199.332126
10.314591,49,199.401107
-10.91679,14,199.420863
-21.917425,43,199.481125
-34.881362,46,199.545783
-10.877975,29,199.586446
34.140268,31,199.629848
-19.054118,15,199.651269
11.176664,87,199.772775
-59.193068,47,199.838469
-10.402294,25,199.873639
-7.635797,55,199.951252
-26.399903,62,200.037954
6.766161,21,200.067566
0.110089,37,200.119365
-12.399786,73,200.221514
-511.237664,1000,202.471467
-14.673188,14,202.491422
-0.808332,37,202.543469
-4.004507,29,202.584332
-17.72502,52,202.657106
-10.615458,11,202.672645
-31.779631,36,202.722717
8.298615,29,202.763391
2.096521,58,202.844279
1.460318,20,202.872243
-11.993946,20,202.900262
-9.450552,45,202.963243
-25.590813,84,203.080565
-89.560207,152,203.293247
-2.581918,24,203.326962
-20.419029,34,203.374686
-24.63333,70,203.472478
-36.015485,28,203.511702
13.785454,25,203.547174
3.369795,22,203.578033
