#{"t_start": 1769419321.6408699, "env_id": "CustomHopper-source-v0"}
r,l,t
195.059224,89,27.591434
217.799851,95,27.703406
209.004415,94,27.813861
221.136836,98,27.92908
212.382557,92,28.038595
211.137787,96,28.152744
110.213206,57,28.220578
191.259127,84,29.111003
153.423655,74,29.197557
222.057707,96,29.309258
232.114636,106,29.433465
112.095765,60,29.504904
187.602218,88,29.608994
223.865819,96,29.722728
202.388784,91,29.830349
107.321821,60,29.901385
229.475436,99,30.018252
253.558549,120,30.161041
213.855269,93,30.271338
201.984087,92,30.38008
181.848527,91,30.488227
198.833932,91,30.595408
215.26892,94,30.706484
227.392907,101,30.825074
149.049767,72,30.909901
196.970629,90,31.017021
207.623183,90,31.124369
215.853229,96,31.238241
131.450552,65,31.315083
214.1932,94,31.427102
229.684132,110,32.371098
230.519985,97,32.486454
240.419408,101,32.607319
179.5229,81,32.703937
135.133828,71,32.788601
229.926823,104,32.91311
230.271652,103,33.036162
222.363118,95,33.151056
212.79343,97,33.267967
213.688575,91,33.377428
192.263192,93,33.488418
214.875347,96,33.604043
209.573555,94,33.717512
154.975415,75,33.807971
197.322878,89,33.915452
230.237069,106,34.043302
224.321881,95,34.157838
207.527789,91,34.267111
186.914527,85,34.370107
210.756385,95,34.485719
208.959442,92,34.596191
223.648753,97,34.712336
231.621408,108,35.663006
217.570736,94,35.776476
199.94119,89,35.884177
215.827564,94,35.996953
56.201794,35,36.039227
233.611061,99,36.158786
235.125475,104,36.283432
218.948472,103,36.405105
212.723495,92,36.515994
229.027462,106,36.643401
243.112933,100,36.764525
236.140149,100,36.884979
226.995395,109,37.014983
205.91632,88,37.120582
224.111525,98,37.238108
231.463616,99,37.356801
227.275697,103,37.481253
219.299368,101,37.602398
211.847386,92,37.71416
204.782601,93,37.825601
236.40867,102,37.94919
216.803309,96,38.88246
262.666085,114,39.017882
221.71412,98,39.134289
245.87629,105,39.256234
215.16201,92,39.363823
251.766301,107,39.48895
232.20449,103,39.609908
199.235523,99,39.727033
217.748213,96,39.841593
331.313453,146,40.013499
256.993887,110,40.14364
257.161377,107,40.270965
206.763188,93,40.380294
222.979988,108,40.508577
242.301836,106,40.63322
226.97288,105,40.756467
280.988074,112,40.888957
325.609736,126,41.038887
236.75474,108,41.168047
270.758592,111,42.090812
340.077502,128,42.239599
104.618946,55,42.303105
241.786695,110,42.43004
272.604733,122,42.570112
250.393386,107,42.694705
220.298491,96,42.807531
219.209479,98,42.921169
262.151231,109,43.04656
289.9896,122,43.187929
236.481319,102,43.306379
230.739727,99,43.421833
205.538683,107,43.545881
302.976295,115,43.679818
257.816931,113,43.814641
226.12467,102,43.936579
310.976636,126,44.08598
249.457101,124,44.233185
235.49204,105,44.357772
115.131803,61,44.430468
370.037912,146,45.392693
279.027316,114,45.524671
241.023204,106,45.647913
254.73232,106,45.770367
297.450976,129,45.918828
243.008374,105,46.041279
241.012771,117,46.177173
246.650051,104,46.299593
335.229523,138,46.467157
430.362492,175,46.674762
286.199362,113,46.810479
309.255234,134,46.968993
276.179321,108,47.096391
278.075715,115,47.232328
308.768874,118,47.37168
303.379678,126,47.520262
269.907167,113,48.466114
181.214779,91,48.574457
